FIPS,lat,lon,RPL_THEMES,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,shelter_count_nearby,shelter_capacity_nearby,hospital_count_nearby,hospital_beds_nearby,school_count_nearby,school_capacity_nearby,node_type
12031011905,30.29410318702806,-81.80085067437336,0.7124,0.56,0.7473,0.5484,0.7856,29,0.0,15,0.0,198,0.0,grid
12031012000,30.30678540136739,-81.76977359799487,0.7746,0.442,0.9505,0.6063,0.8655,31,0.0,18,0.0,221,0.0,grid
12031012100,30.31962703162197,-81.74018271991075,0.8536,0.8302,0.9128,0.6776,0.6848,36,0.0,18,0.0,231,0.0,grid
12031012201,30.292703842104462,-81.73466222078046,0.7483,0.7832,0.3801,0.6453,0.7793,39,0.0,18,0.0,244,0.0,grid
12031012202,30.300319323555758,-81.74393229915482,0.8647,0.8824,0.8158,0.6648,0.728,39,0.0,18,0.0,238,0.0,grid
12031012300,30.294972978975633,-81.72525894467843,0.6357,0.6606,0.359,0.5537,0.6785,39,0.0,18,0.0,247,0.0,grid
12031012400,30.275375714915484,-81.72811402482849,0.2408,0.2176,0.4217,0.1732,0.3456,39,0.0,18,0.0,251,0.0,grid
12031012500,30.271427816758862,-81.74135288793835,0.8162,0.7606,0.8609,0.5654,0.742,37,0.0,18,0.0,251,0.0,grid
12031012601,30.29353644977512,-81.76174609279143,0.8702,0.8911,0.917,0.7608,0.5976,30,0.0,18,0.0,226,0.0,grid
12031012602,30.280273775517546,-81.75637742090638,0.9613,0.9813,0.8992,0.7557,0.829,37,0.0,18,0.0,236,0.0,grid
12031012702,30.268652813775326,-81.80423418006208,0.8152,0.7477,0.8588,0.7096,0.7071,31,0.0,15,0.0,201,0.0,grid
12031012703,30.280704750522304,-81.77909776619663,0.6387,0.4278,0.84,0.6402,0.643,29,0.0,19,0.0,221,0.0,grid
12031012704,30.260209561175117,-81.78049106549001,0.9302,0.8821,0.8176,0.8311,0.9112,31,0.0,19,0.0,216,0.0,grid
12031012800,30.258787237283585,-81.76205014070547,0.6742,0.7047,0.6168,0.7295,0.488,38,0.0,19,0.0,231,0.0,grid
12031012900,30.258908477211854,-81.74735683500752,0.5935,0.841,0.9822,0.4707,0.0203,41,0.0,19,0.0,247,0.0,grid
12031013000,30.263856476638875,-81.69451294756996,0.0286,0.0181,0.1748,0.0354,0.1444,49,0.0,18,0.0,263,0.0,grid
12031013100,30.24841234602586,-81.68366200953791,0.4148,0.3345,0.3617,0.251,0.6456,50,0.0,20,0.0,263,0.0,grid
12031013200,30.21929556861682,-81.67993354548804,0.3923,0.4077,0.2097,0.5333,0.485,73,0.0,21,0.0,267,0.0,grid
12031013301,30.216316596921324,-81.71194544313082,0.4448,0.5091,0.568,0.6022,0.2387,66,0.0,21,0.0,255,0.0,grid
12031013302,30.195802746809374,-81.71916548070446,0.856,0.843,0.7335,0.7096,0.8026,63,0.0,21,0.0,233,0.0,grid
12031013402,30.240853476305144,-81.72571068711561,0.8568,0.8022,0.797,0.6817,0.8235,42,0.0,20,0.0,252,0.0,grid
12031013403,30.258239756430527,-81.73225024752853,0.5546,0.6876,0.1355,0.7077,0.5473,41,0.0,19,0.0,256,0.0,grid
12031013404,30.25210323957138,-81.72207226975485,0.6493,0.7809,0.1296,0.5931,0.7055,47,0.0,20,0.0,258,0.0,grid
12031013502,30.221319565804325,-81.77933144818375,0.656,0.5586,0.669,0.6783,0.6221,41,0.0,20,0.0,207,0.0,grid
12031013504,30.2406745147378,-81.78382503126988,0.6205,0.5037,0.3679,0.7339,0.768,39,0.0,20,0.0,211,0.0,grid
12031013522,30.21991255934749,-81.72706452395865,0.5014,0.3168,0.3105,0.6207,0.7722,53,0.0,20,0.0,246,0.0,grid
12031013523,30.226812091705604,-81.76677367231818,0.8034,0.6365,0.6809,0.7096,0.8913,39,0.0,20,0.0,219,0.0,grid
12031013524,30.195955297027528,-81.75463520368682,0.6126,0.7897,0.7028,0.6063,0.2089,54,0.0,20,0.0,207,0.0,grid
12031013525,30.232971809718286,-81.75108298376358,0.8371,0.6272,0.9523,0.7953,0.7864,39,0.0,20,0.0,233,0.0,grid
12031013526,30.210255793860338,-81.74798369509786,0.7069,0.6809,0.3972,0.7411,0.7507,54,0.0,20,0.0,223,0.0,grid
12031013723,30.217361158099205,-81.83433763013576,0.5854,0.5846,0.5211,0.7037,0.4921,27,0.0,7,0.0,147,0.0,grid
