facility_id,facility_type,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
school_47,school,0.3824,0.4095,0.1384,0.2501,0.2732
school_48,school,0.4396,0.7256,0.3181,0.2199,0.4032
school_49,school,0.3101,0.9375,0.3455,0.8093,0.6465
school_50,school,0.3824,0.4095,0.1384,0.2501,0.2732
school_51,school,0.9609,0.9864,0.7474,0.8469,0.9759
school_52,school,0.6619,0.3444,0.1593,0.4574,0.4919
school_53,school,0.7008,0.3189,0.3039,0.7964,0.6578
school_54,school,0.6254,0.1325,0.4203,0.871,0.6162
school_55,school,0.6398,0.0576,0.3884,0.8481,0.5633
school_56,school,0.64,0.9207,0.503,0.9742,0.8815
school_57,school,0.64,0.9207,0.503,0.9742,0.8815
school_58,school,0.0335,0.1572,0.2967,0.226,0.071
school_59,school,0.4974,0.8807,0.2634,0.786,0.6824
school_60,school,0.3337,0.6156,0.3679,0.5635,0.4578
school_61,school,0.1943,0.1862,0.4563,0.4,0.2282
school_62,school,0.0335,0.1572,0.2967,0.226,0.071
school_63,school,0.0335,0.1572,0.2967,0.226,0.071
school_64,school,0.5187,0.3874,0.3931,0.9272,0.6718
school_65,school,0.4639,0.5379,0.5923,0.0349,0.2671
school_66,school,0.2897,0.3649,0.0803,0.3765,0.2592
school_67,school,0.9081,0.6355,0.7154,0.8442,0.8862
school_68,school,0.6083,0.6621,0.5577,0.4278,0.5834
school_69,school,0.7862,0.1477,0.65,0.6521,0.6501
school_70,school,0.2815,0.4391,0.1785,0.541,0.3554
school_71,school,0.2536,0.1813,0.1268,0.3525,0.1921
school_72,school,0.0321,0.0775,0.0301,0.1166,0.0176
school_73,school,0.6353,0.5915,0.3988,0.6028,0.6217
school_74,school,0.7972,0.6753,0.6179,0.459,0.7051
school_75,school,0.2122,0.2966,0.0965,0.129,0.1162
school_76,school,0.1913,0.1769,0.1236,0.726,0.2897
school_77,school,0.5578,0.5371,0.1825,0.8387,0.641
school_78,school,0.2536,0.1813,0.1268,0.3525,0.1921
school_79,school,0.2465,0.2544,0.2047,0.5805,0.3
school_80,school,0.8323,0.7487,0.4354,0.8128,0.8316
school_81,school,0.6679,0.9886,0.536,0.9179,0.8994
school_82,school,0.1558,0.3124,0.1301,0.1852,0.1264
school_83,school,0.726,0.2337,0.0205,0.3043,0.4132
school_84,school,0.1645,0.4205,0.0675,0.6801,0.315
school_85,school,0.3657,0.2239,0.337,0.1203,0.1892
school_86,school,0.6679,0.9886,0.536,0.9179,0.8994
school_87,school,0.6426,0.6651,0.4687,0.8986,0.7742
school_88,school,0.816,0.4473,0.4415,0.0617,0.4471
school_89,school,0.5578,0.5371,0.1825,0.8387,0.641
school_90,school,0.4181,0.7525,0.3313,0.7655,0.6067
school_91,school,0.6836,0.6544,0.6313,0.3069,0.5882
school_92,school,0.5146,0.1481,0.2573,0.5394,0.4047
school_93,school,0.6308,0.2353,0.2352,0.4643,0.4556
school_94,school,0.0335,0.1572,0.2967,0.226,0.071
school_95,school,0.4836,0.5949,0.3543,0.3773,0.4554
school_96,school,0.2846,0.1966,0.2063,0.3176,0.2114
school_97,school,0.4937,0.1179,0.19,0.5588,0.3755
school_98,school,0.3596,0.5178,0.4293,0.0895,0.2456
school_99,school,0.4937,0.1179,0.19,0.5588,0.3755
school_100,school,0.2099,0.8209,0.377,0.088,0.2341
school_101,school,0.2266,0.2343,0.4254,0.4128,0.2586
school_102,school,0.5785,0.5988,0.197,0.5909,0.557
school_103,school,0.1911,0.3191,0.4856,0.2256,0.2012
school_104,school,0.8323,0.7487,0.4354,0.8128,0.8316
school_105,school,0.4584,0.5396,0.3758,0.8917,0.6527
school_106,school,0.4974,0.8807,0.2634,0.786,0.6824
school_107,school,0.9765,0.789,0.5823,0.9353,0.9602
school_108,school,0.1296,0.1657,0.0075,0.2475,0.0961
school_109,school,0.1765,0.2136,0.0447,0.2736,0.1327
school_110,school,0.2536,0.1813,0.1268,0.3525,0.1921
school_111,school,0.7239,0.9637,0.2352,0.9566,0.887
school_112,school,0.6353,0.5915,0.3988,0.6028,0.6217
school_113,school,0.2536,0.1813,0.1268,0.3525,0.1921
school_114,school,0.726,0.2337,0.0205,0.3043,0.4132
school_115,school,0.8663,0.5462,0.5309,0.7718,0.8108
school_116,school,0.0588,0.2726,0.2134,0.0464,0.0367
school_117,school,0.1422,0.5091,0.3976,0.1744,0.183
school_118,school,0.0335,0.1572,0.2967,0.226,0.071
school_119,school,0.3974,0.557,0.3835,0.4213,0.4241
school_120,school,0.1065,0.2923,0.1703,0.1414,0.0917
school_121,school,0.8221,0.6266,0.3608,0.6077,0.7219
school_122,school,0.8779,0.3978,0.7748,0.8154,0.8339
